"ロボットコード","回","キャンパスコード","A/B","ロボット名","フリガナ"
"109886102","9","8610","B","THE STRIKER","ザストライカー"
"109886201","9","8620","A","C.HUNTER ""松風""","シーハンターマツカゼ"
"109886202","9","8620","B","About","アバウト"
"109886301","9","8630","A","ＲＳピヨピヨ丸ＧＴ－Ｒ","アールエスピヨピヨマルジーティーアール"
"109886302","9","8630","B","さつまＡＧＥ","サツマエージーイー"
"110110101","10","1010","A","SPEEDY WONDER","スピーディーワンダー"
"110110102","10","1010","B","HAPPY1号","ハッピーイチゴウ"
"110110201","10","1020","","キリキリマイ","キリキリマイ"
"110110202","10","1020","","The Florist","ザフローリスト"
"110110301","10","1030","","ラララ・ラフレシア","ラララ・ラフレシア"
"110110302","10","1030","","櫻","サクラ"
"110110401","10","1040","","Blute ふてふ","ブルーテフテフ"
"110110402","10","1040","","花蝶満天","カチョウマンテン"
"110110501","10","1050","","STB","スティーブ"
"110110502","10","1050","","千草零式","チグサゼロシキ"
"110220601","10","2060","","SS (Super Slider)","スーパースライダー"
"110220602","10","2060","","からくり箱","カラクリバコ"
"110220701","10","2070","","セリオンZWEI","セリオンツヴァイ"
"110220702","10","2070","","BACKE","バッケ"
"110220801","10","2080","","花満改","ハナマンカイ"
"110220802","10","2080","","高飛車","タカビシャ"
"110220901","10","2090","","すべり台すべりたーい！","スベリダイスベリターイ"
"110220902","10","2090","","無農薬1号","ムノウヤクイチゴウ"
"110221001","10","2100","","極めてお花屋さんましーん","キワメテオハナヤサンマシーン"
"110221002","10","2100","","The ヤギ鍋で Fighter Type","ザヤギナベデファイタータイプ"
"110221101","10","2110","","Let's ほりかわ君","レッツホリカワクン"
"110221102","10","2110","","夏だぜひちきだ からかっさ","ナツダゼヒチキダカラカッサ"
"110221201","10","2120","","風林火斬","フウリンカザン"
"110221202","10","2120","","NAGAO-３０","ナガオサーティー"
"110331301","10","3130","","落花生Ⅱ","ラッカセイツヴァイ"
"110331302","10","3130","","SUN太夫","サンダユウ"
"110331401","10","3140","","発見！！電気屋さんっち","ハッケンデンキヤサンッチ"
"110331402","10","3140","","発見！？機械屋さん２号","ハッケンキカイヤサンニゴウ"
"110331501","10","3150","","レーズンバターロール","レーズンバターロール"
"110331502","10","3150","","Jagaranda","ヤガランダ"
"110331601","10","3160","","POP CRACKER","ポップクラッカー"
"110331602","10","3160","","千紫万紅","センシバンコウ"
"110331701","10","3170","","花蝶Ｗｈｏ ｇｅｔ ｙｏｕ？","カチョウフーゲッチュー"
"110331702","10","3170","","ＴＡＮＡ五っち","タナゴッチ"
"110331801","10","3180","","BlueFlag","ブルーフラッグ"
"110331802","10","3180","","花さかEgg★","ハナサカエッグ"
"110331901","10","3190","","ネオ＠ガッツ","ネオアットマークガッツ"
"110331902","10","3190","","落花生","ラッカセイ"
"110332001","10","3200","","栽培係長品川丸９７","ヨミカタガワカリマセン"
"110332002","10","3200","","カッティング・チョッパー","カッティングチョッパー"
"110332101","10","3210","","花咲かロボットくん","ハナサカロボットクン"
"110332102","10","3210","","カタパルトタワー","カタパルトタワー"
"110332301","10","3230","","ノッポさん１３号","ノッポサンジュウサンゴウ"
"110332302","10","3230","","ゴン太くん１３号","ゴンタクンジュウサンゴウ"
"110442401","10","4240","","花咲かG3","ハナサカジースリー"
"110442402","10","4240","","若潮君II号","ワカシオクンニゴウ"
"110442501","10","4250","","風船花 咲かせます","フウセンカサカセマス"
"110442502","10","4250","","鸞","ラン"
"110442601","10","4260","","Mr.Toy","ヨミカタガワカリマセン"
"110442602","10","4260","","エマルジョンγ","エマルジョンガンマ"
"110442701","10","4270","","らんらん号","ランランゴウ"
"110442702","10","4270","","順風満帆","ジュンプウマンパン"
"110442801","10","4280","","Ｇ．Ｇ．ウォーカー","ジージーウォーカー"
"110442802","10","4280","","花コプター","ハナコプター"
"110442901","10","4290","","薫　～華の１６才～","カヲルハナノジュウロクサイ"
"110442902","10","4290","","百花繚乱！大和撫子","ヒャッカリョウランヤマトナデシコ"
"110443001","10","4300","","２５１MHz","ニヒャクゴジュウイチメガヘルツ"
"110443002","10","4300","","おお、こまち","オオコマチ"
"110443101","10","4310","","サイクロン","サイクロン"
"110443102","10","4310","","てふてふって言ってごらん","チョウチョウッテイッテゴラン"
"110443201","10","4320","","ナイアガラ１号","ナイアガライチゴウ"
"110443202","10","4320","","花・夢・配達人","ヨミカタガワカリマセン"
"110443301","10","4330","","グローバルフラワー","グローバルフラワー"
"110443302","10","4330","","テントウ（ムシ）2","テントウムシ"
"110553401","10","5340","A","翔鶴","ショウカク"
"110553402","10","5340","B","EGG-MEN","エッグメン"
"110553501","10","5350","A","なんでやねん","ナンデヤネン"
"110553502","10","5350","B","浪速５秒前","ナニワゴビョウマエ"
"110553601","10","5360","A","THIRD STAGE","サードステージ"
"110553602","10","5360","B","フラワーコースター","フラワーコースター"
"110553701","10","5370","A","花嫁","ハナヨメ"
"110553702","10","5370","B","Butterflizer","バタフライザー"
"110553801","10","5380","A","SPRING MAGIC","スプリングマジック"
"110553802","10","5380","B","花咲かこぞう","ハナサカコゾウ"
"110553901","10","5390","A","えれふぁんとのーず","エレファントノーズ"
"110553902","10","5390","B","ひまわり刑事","ヒマワリデカ"
"110554001","10","5400","A","Dream-maker","ドリームメーカー"
"110554002","10","5400","B","花とてふてふ","ハナトチョウチョウ"
"110664101","10","6410","","えどごじん","エドゴジン"
"110664102","10","6410","","PAL","ヨミカタガワカリマセン"
"110664201","10","6420","","てふてふ君","テフテフクン"
"110664202","10","6420","","大将浪漫","タイショウロマン"
"110664301","10","6430","","乱舞","ランブ"
"110664302","10","6430","","フローパットンツアラーＶ","フローパットンツアラーブイ"
"110664401","10","6440","","キサオ","キサオ"
"110664402","10","6440","","ミツヤマMk-II","ヨミカタガワカリマセン"
"110664501","10","6450","","スカットフラワーβII","ヨミカタガワカリマセン"
"110664502","10","6450","","Fräulein","ヨミカタガワカリマセン"
"110664601","10","6460","","快速猛虎エアロスミス１世","カイソクモウコエアロスミスイッセイ"
"110664602","10","6460","","コンパス２１","コンパスニジュウイチ"
"110664701","10","6470","","花っちょターボ2号","ハナッチョターボニゴウ"
"110664702","10","6470","","在来線(各駅停車)","ザイライセンカクエキテイシャ"
"110664801","10","6480","","てるてるくん","テルテルクン"
"110664802","10","6480","","のーむ","ノーム"
"110774901","10","7490","","HigtacIII","ヒグタックスリー"
"110774902","10","7490","","デリバーくん","デリバークン"
"110775001","10","7500","","フラワーステーション","フラワーステーション"
"110775002","10","7500","","投宙花走","トウチュウカソウ"
"110775101","10","7510","","石重真咲","イシシゲマサキ"
"110775102","10","7510","","ラフレシア","ラフレシア"
"110775201","10","7520","","花鳥who gets？","カチョウフーゲッツ"
"110775202","10","7520","","燧のスタッグビートル","ヒウチノスタッグビートル"
"110775301","10","7530","","S・T・F","エスティーエフ"
"110775302","10","7530","","α-Gardener","ヨミカタガワカリマセン"
"110775401","10","7540","","ラン","ラン"
"110775402","10","7540","","ホープ５","ヨミカタガワカリマセン"
"110885501","10","8550","","芋虫大紀行号","イモムシダイキコウゴウ"
"110885502","10","8550","","オクタゴンフラワー","オクタゴンフラワー"
"110885601","10","8560","","Eden","エデン"
"110885602","10","8560","","wish","ウィッシュ"
"110885701","10","8570","","ライラック","ライラック"
"110885702","10","8570","","さんぽみち","サンポミチ"
"110885801","10","8580","A","さっちゃん28号","サッチャンニジュウハチゴウ"
"110885802","10","8580","B","花車","キャシャ"
"110885901","10","8590","","華美","ハナビ"
"110885902","10","8590","","N.N.D.","エヌエヌディー"
"110886001","10","8600","","Marugarita","マルガリータ"
"110886002","10","8600","","MARIPOSA","マリポーサ"
"110886101","10","8610","A","JARDINEIRO","ジャルディネイロ"
"110886102","10","8610","B","QYIET THANG","クエットチャング"
"110886201","10","8620","","Mの国","エムノクニ"
"110886202","10","8620","","フェニックス","フェニックス"
"110886301","10","8630","","花の5S","ハナノゴエス"
"110886302","10","8630","","Ｇ３","ジースリー"
"111110101","11","1010","A","MACH-CHAN1号","マッハチャンイチゴウ"
"111110102","11","1010","B","ジムカデJr.号","ジムカデジュニアゴウ"
"111110201","11","1020","","八面六臂","ハチメンロッピ"
"111110202","11","1020","","風揚","プウヤン"
"111110301","11","1030","","たまご漂流記","タマゴヒョウリュウキ"
"111110302","11","1030","","SAKKORO","サッコロ"
"111110401","11","1040","","TR Evolution","ティーアールエヴォリューション"
"111110402","11","1040","","""生物〟大移動","ナマモノダイイドウ"
"111110501","11","1050","","ドラ爆","ドラバク"
"111110502","11","1050","","遺伝子","ディーエヌエー"
"111220601","11","2060","","イカロス","イカロス"
"111220602","11","2060","","ROUGH","ラフ"
"111220701","11","2070","","人工生命体　ARL","ジンコウセイメイタイアール"
"111220702","11","2070","","飯田街道3号","イイダカイドウサンゴウ"
"111220801","11","2080","","大量発生","タイリョウハッセイ"
"111220802","11","2080","","からくりおっかさん","カラクリオッカサン"
"111220901","11","2090","","テクノプランター","テクノプランター"
"111220902","11","2090","","ガラクテックキャノン","ガラクテックキャノン"
"111221001","11","2100","","METAL-MATRIX","メタルマトリックス"
"111221002","11","2100","","FootWeak-R","フットウィークアール"
"111221101","11","2110","","Tera Seed","テラシード"
"111221102","11","2110","","ころころ玉ころ大行進98","コロコロタマコロダイコウシンキュウジュウハチ"
"111221201","11","2120","","Delta-Iris","デルタアイリス"
"111221202","11","2120","","飛天","ヒテン"
"111331301","11","3130","","越号NAGAOKA","エチゴウナガオカ"
"111331302","11","3130","","M-1","エムワン"
"111331401","11","3140","","SSR-SQUART","エスエスアールスクオート"
"111331402","11","3140","","ヴィントシュルフト","ヴィントシュルフト"
"111331501","11","3150","","Humpty Dumpty","ハンプティダンプティ"
"111331502","11","3150","","Poseidon","ポセイドン"
"111331601","11","3160","","強いロボ","ツヨイロボ"
"111331602","11","3160","","etc","エトセトラ"
"111331701","11","3170","","ジンソくん","ジンソクン"
"111331702","11","3170","","いろとりドリ","イロトリドリ"
"111331801","11","3180","","グラビアキング","グラビアキング"
"111331802","11","3180","","森の音楽家たち","モリノオンガクカタチ"
"111331901","11","3190","","Jack","ジャック"
"111331902","11","3190","","AYS","アイス"
"111332001","11","3200","","参・誕・源","サンタンゲン"
"111332002","11","3200","","バイオ鳳仙花IGA","バイオホウセンカアイジーエー"
"111332101","11","3210","","NFK・クウォーター","エヌエフケイクウォーター"
"111332102","11","3210","","The ピヨコ","ザピヨコ"
"111332301","11","3230","","SAWAMURA城","サワムラジョウ"
"111332302","11","3230","","Eggman","エッグマン"
"111442401","11","4240","","たまごん＆たねごん","タマゴンアンドタネゴン"
"111442402","11","4240","","若潮君III号","ワカシオクンサンゴウ"
"111442501","11","4250","","ＳＫＹ　ＤＲＡＧＯＮ","スカイドラゴン"
"111442502","11","4250","","ペンタスパイラル","ペンタスパイラル"
"111442601","11","4260","","zoo ver.J","ヨミカタガワカリマセン"
"111442602","11","4260","","Blue Moon","ブルームーン"
"111442701","11","4270","","Eagle Exceed","イーグルエクシード"
"111442702","11","4270","","Night monks","ナイトマンクス"
"111442801","11","4280","","シーカイト","シーカイト"
"111442802","11","4280","","念ずれば花開く２号","ネンズレバハナヒラクニゴウ"
"111442901","11","4290","","TEMPEST-SP","テンペストエスピー"
"111442902","11","4290","","鳥獣ＧＩＧＡ","チョウジュウギガ"
"111443001","11","4300","","Egg-Man(半熟)","エッグマンカッコハンジュクカッコトジテ"
"111443002","11","4300","","魔訶不思議種","マカフシギダネ"
"111443101","11","4310","","生命侵略","セイメイシンリャク"
"111443102","11","4310","","ノイ","ノイ"
"111443201","11","4320","","精密ロボット１号","セイミツロボットイチゴウ"
"111443202","11","4320","","元気印花たまご製造機","ヨミカタガワカリマセン"
"111443301","11","4330","","カメッポン","カメッポン"
"111443302","11","4330","","鳥羽の海","ヨミカタガワカリマセン"
"111553401","11","5340","A","旋鶴","センカク"
"111553402","11","5340","B","コミカルトレイン","コミカルトレイン"
"111553501","11","5350","B","Conbination","コンビネーション"
"111553502","11","5350","A","SOLAR","ソーラー"
"111553601","11","5360","A","Spielzeug","シュピルツオイク"
"111553602","11","5360","B","婆娑羅","バサラ"
"111553701","11","5370","A","りべんじろう","リベンジロウ"
"111553702","11","5370","B","双頭龍","ソウトウリュウ"
"111553801","11","5380","A","B-YAN","ベーヤン"
"111553802","11","5380","B","Cosmo-factor","コスモファクター"
"111553901","11","5390","A","98式光秀","キュウハチシキミツヒデ"
"111553902","11","5390","B","サマーバケーション","サマーバケーション"
"111554001","11","5400","A","キングオブココナッツ","キングオブココナッツ"
"111554002","11","5400","B","Life Source","ライフソース"
"111664101","11","6410","","小さな栗の木","チイサナクリノキ"
"111664102","11","6410","","アイランド・ゲッター","アイランドゲッター"
"111664201","11","6420","","Hello Baby","ハローベイビー"
"111664202","11","6420","","ムササBee!","ムササビー"
"111664301","11","6430","","早咲花","ソウショウカ"
"111664302","11","6430","","桃太郎とアヒルの子","モモタロウトアヒルノコ"
"111664401","11","6440","","ラブリー・パラダイス","ラブリーパラダイス"
"111664402","11","6440","","新 竹取物語","シンタケトリモノガタリ"
"111664501","11","6450","","超低速凡能種子搬送器 武蔵","チョウテイソクボンノウシュシハンソウキムサシ"
"111664502","11","6450","","D.Day","ディーデイ"
"111664601","11","6460","","メカBANCHO","メカバンチョ"
"111664602","11","6460","","f","エフ"
"111664701","11","6470","","Ｎ１－４","エヌワンフォー"
"111664801","11","6480","","からくり日本昔ばなし","カラクリニホンムカシバナシ"
"111664802","11","6480","","氷の旅 21","コオリノタビニジュウイチ"
"111774901","11","7490","","ネギかも？","ネギカモ"
"111774902","11","7490","","夏ミカンパラダイス","ナツミカンパラダイス"
"111775001","11","7500","","H.E.A.R.T","ハート"
"111775002","11","7500","","MEER","メーア"
"111775101","11","7510","","Life-Carrier","ライフキャリアー"
"111775201","11","7520","","マジックエッグ","マジックエッグ"
"111775202","11","7520","","EGG2","エッグエッグ"
"111775301","11","7530","","アイタニック","アイタニック"
"111775302","11","7530","","Ｍ・ｔ・11","エムティーイレブン"
"111775401","11","7540","","Ｇ・genesis","ジージェネシス"
"111775402","11","7540","","極東超公務員伝説都庁ロボ","ヨミカタガワカリマセン"
"111885501","11","8550","","さぶいぼ","サブイボ"
"111885502","11","8550","","D.N.A.玉子","ダイナミックナタマゴ"
"111885601","11","8560","","MOSQUITO","モスキート"
"111885602","11","8560","","とま吉","トマキチ"
"111885701","11","8570","","未完星人","ミカンセイジン"
"111885702","11","8570","","バイオ＝シューター","バイオシューター"
"111885801","11","8580","A","SCT4M+3M-1","エスシーティーヨンエムプラスサンエムマイナスイチ"
"111885802","11","8580","B","連弩","レンド"
"111885901","11","8590","","YAMATO","ヤマト"
"111885902","11","8590","","SUKA PATONG","スーカーパートン"
"111886001","11","8600","","破天荒","ハテンコウ"
"111886002","11","8600","","コーネリアス","コーネリアス"
"111886101","11","8610","B","ハのかっぱ","ハノカッパ"
"111886102","11","8610","A","飛鳥Chan","アスカチャン"
"111886201","11","8620","","Land Schaffen","ランドシャッフェン"
"111886202","11","8620","","千里馬","チョリマ"
"111886301","11","8630","","零式長城","グレートウォールプロトタイプ"
"111886302","11","8630","","Going up","ゴーイングアップ"
"112110101","12","1010","B","Blitz Schnell","ブリッツシュネル"
"112110102","12","1010","A","Safety Slope","セイフティースロープ"
"112110201","12","1020","","ALIYA","アリヤ"
"112110202","12","1020","","Stag beetle","スタッグビートル"
"112110301","12","1030","","SPOILER","スポイラー"
"112110302","12","1030","","アドレナリン・レセプター","アドレナリン・レセプター"
"112110401","12","1040","","飛び越えるBesa!","トビコエルベサ"
"112110402","12","1040","","飛ぶんでSKY!?","トブンデスカイ"
"112110501","12","1050","","武士か騎士","ブシカナイト"
"112110502","12","1050","","箱だけに函館","ハコダケニハコダテ"
"112220601","12","2060","","ドルフィン","ドルフィン"
"112220602","12","2060","","BIGヨーヨーエイ439","ビッグヨーヨーエイヨサク"
"112220701","12","2070","","武龍","ブリュウ"
"112220702","12","2070","","ヒックリガエル","ヒックリガエル"
"112220801","12","2080","","とびっこ","トビッコ"
"112220802","12","2080","","ID","アイディー"
"112220901","12","2090","","DC・カクリアン","デーシーカクリアン"
"112220902","12","2090","","GT-Megaslide","ガラクティックメガスライド"
"112221001","12","2100","","楓","カエデ"
"112221002","12","2100","","箱蜻蛉","ハコトンボ"
"112221101","12","2110","","AIRIEL","エアリアル"
"112221102","12","2110","","Quarter","クォーター"
"112221201","12","2120","","スカイウェイ","スカイウェイ"
"112221202","12","2120","","ホワイトアロー","ホワイトアロー"
"112331301","12","3130","","忠犬レッツ","チュウケンレッツ"
"112331302","12","3130","","トキ","トキ"
"112331401","12","3140","","射出EMY型フライヤー","シャシュツエミーガタフライヤー"
"112331402","12","3140","","WEGWEIZER","ヴェグライザー"
"112331501","12","3150","","filandiere","フィランディア"
"112331502","12","3150","","EXCELEAP","エクセリープ"
"112331601","12","3160","","乾坤一擲","ケンコンイッテキ"
"112331602","12","3160","","重装歩兵","ホブリーテン"
"112331701","12","3170","","Raglide","ラグライド"
"112331702","12","3170","","疾風怒濤","シップウドトウ"
"112331801","12","3180","","すてねこりべんぢ","ステネコリベンヂ"
"112331802","12","3180","","HAKKAN","ハッカン"
"112331901","12","3190","","Lagu","ラーグ"
"112331902","12","3190","","なげなげ１号","ナゲナゲイチゴウ"
"112332001","12","3200","","アンダービレッジ","アンダービレッジ"
"112332002","12","3200","","センターフィールド","センターフィールド"
"112332101","12","3210","","RISE","ライズ"
"112332102","12","3210","","Take it easy","テイクイットイージー"
"112332301","12","3230","","eleven Dash","イレブンダッシュ"
"112332302","12","3230","","ゾーさん","ゾーサン"
"112442401","12","4240","","GRASSHOPPER","グラスホッパー"
"112442402","12","4240","","行け！飛べ！マーシー！","イケトベマーシー"
"112442501","12","4250","","TURBO","ターボ"
"112442502","12","4250","","Ｃｏｍｅｔｓ","カメッツ"
"112442601","12","4260","","コンバット越中","コンバットエッチュウ"
"112442602","12","4260","","ザ・松本Z.com S","ザマツモトゼットコムスーパー"
"112442701","12","4270","","1000's Explain","サウザンズエクスプレイン"
"112442702","12","4270","","Dive & Dive","ダイブアンドダイブ"
"112442801","12","4280","","ドリームジャンプ","ドリームジャンプ"
"112442802","12","4280","","越前インパルス","エチゼンインパルス"
"112442901","12","4290","","快速橋機","カイソクキョウキ"
"112442902","12","4290","","大和大砲","ヤマトキャノン"
"112443001","12","4300","","アルミニウム夫妻","アルミニウムフサイ"
"112443002","12","4300","","駿河海星丸","スルガカイセイマル"
"112443101","12","4310","","マシンホイホイ","マシンホイホイ"
"112443102","12","4310","","フィロンソフィア","フィロンソフィア"
"112443201","12","4320","","クルトン","クルトン"
"112443202","12","4320","","balansoire","バランソワ"
"112443301","12","4330","","レオパルド２","レオパルドツー"
"112443302","12","4330","","鳥羽の空１号","トバノソライチゴウ"
"112553401","12","5340","A","鶴の架け橋","ツルノカケハシ"
"112553402","12","5340","B","ザ・コバンザメ","ザコバンザメ"
"112553501","12","5350","A","B.B.R.","ボールボールレボリューション"
"112553502","12","5350","B","Vスポット行ってきました","ブイスポットイッテキマシタ"
"112553601","12","5360","A","天駆者","スカイランナー"
"112553602","12","5360","B","ENTERPRISE","エンタープライズ"
"112553701","12","5370","B","ちゃれんじろう","チャレンジロウ"
"112553702","12","5370","A","夢橋龍χ1号2号+3号","ユメキョウリュウカイイチゴウニゴウプラスサンゴウ"
"112553801","12","5380","A","ダイバーオール:T","ダイバーオールティー"
"112553802","12","5380","B","リトルbyリトル","リトルバイリトル"
"112553901","12","5390","B","TEMPEST","テンペスト"
"112553902","12","5390","A","99式TATSUO","キュウキュウシキタツオ"
"112554001","12","5400","A","フライヤー8号","フライヤーハチゴウ"
"112554002","12","5400","B","にら隆おどる","ニラタカシオドル"
"112664101","12","6410","","未来へのタマゴ","ミライヘノタマゴ"
"112664102","12","6410","","2代目","ニダイメ"
"112664201","12","6420","","M-MAIL","エムメイル"
"112664202","12","6420","","弐人Ⅲ脚型","ニニンサンキャクケイ"
"112664301","12","6430","","Jumping・H","ジャンピングエイチ"
"112664302","12","6430","","AIRSHIP・J","エアシップジェイ"
"112664401","12","6440","","シーソーでＪＵＭＰ","シーソーデジャンプ"
"112664402","12","6440","","ウネウネ１号","ウネウネイチゴウ"
"112664501","12","6450","","おさるの滑り台β","オサルノスベリダイベータ"
"112664502","12","6450","","マッハ 556","マッハゴーゴーロク"
"112664601","12","6460","","Fly Do ポテット S","フライドポテットエス"
"112664602","12","6460","","C-PENGUINα","サイバーペンギンアルファ"
"112664701","12","6470","","さんだぁ～・ぶい","サンダーブイ"
"112664702","12","6470","","Muff Fixer","マフフィクサー"
"112664801","12","6480","","とびうお","トビウオ"
"112664802","12","6480","","オロチ～再臨～","オロチサイリン"
"112774901","12","7490","","スプリンガーΣ","スプリンガーシグマ"
"112774902","12","7490","","ネギかも？II","ネギカモツー"
"112775001","12","7500","","Hurry Up!","ヨミカタガワカリマセン"
"112775002","12","7500","","Ｙａ！甲虫","ヤコウチュウ"
"112775101","12","7510","","クリティカル ポイント","クリティカルポイント"
"112775102","12","7510","","Jump to 2000","ヨミカタガワカリマセン"
"112775201","12","7520","","燧のジャンパー","ヒウチノジャンパー"
"112775202","12","7520","","Light Wing","ライトウイング"
"112775301","12","7530","","スーパートトメス","スーパートトメス"
"112775302","12","7530","","流星弐號","リュウセイニゴウ"
"112775401","12","7540","","ジャンピング物部","ジャンピングモノベ"
"112775402","12","7540","","よさこいフォッサマグナ","ヨサコイフォッサマグナ"
"112885501","12","8550","A","E-10","エトウ"
"112885502","12","8550","B","ヴェルダー","ヴェルダー"
"112885601","12","8560","B","とり吉","トリキチ"
"112885602","12","8560","A","弾君","ダンクン"
"112885701","12","8570","","PENGUIN","ペンギン"
"112885702","12","8570","","バスケトシューター","バスケトシューター"
"112885801","12","8580","A","飛びっきりバッタ君","トビッキリバッタクン"
"112885802","12","8580","B","竹・Chiku・ばんぶぅ","チクチクバンブー"
"112885901","12","8590","","PICOBULL","ピコブル"
"112885902","12","8590","","ソニックテンプル2nd","ソニックテンプルセカンド"
"112886001","12","8600","","ダウンヒル最速","ダウンヒルサイソク"
"112886002","12","8600","","飛躍的樽樽","フライングタルタル"
"112886101","12","8610","A","飛翔天決","ヒショウテンケツ"
"112886102","12","8610","B","RESCUE-55","レスキューゴーゴー"
"112886201","12","8620","","ムーンサルト","ムーンサルト"
"112886202","12","8620","","Express霧島","エキスプレスキリシマ"
"112886301","12","8630","","よしきよボビキヨ","ヨシキヨボビキヨ"
"112886302","12","8630","","WIN45","ウィンヨンジュウゴ"
"113110101","13","1010","A","大車輪","ダイシャリン"
"113110102","13","1010","B","Be Shorten","ビーショーテン"
"113110201","13","1020","","鉄柱昇降群","テッチュウショウコウグン"
"113110202","13","1020","","TODICS","トディックス"
"113110301","13","1030","","坂上のぼる","サカウエノボル"
"113110302","13","1030","","EOS","イオス"
"113110401","13","1040","","未来へ架ける橋","ミライヘカケルハシ"
"113110402","13","1040","","大旋回","ダイセンカイ"
"113110501","13","1050","","Attach","アタッチ"
"113110502","13","1050","","NOT FOR SALE","ノットフォーセール"
"113220601","13","2060","","Enemy Tower","エネミータワー"
"113220602","13","2060","","Y2K.com","ヨミカタガワカリマセン"
"113220701","13","2070","","SHIFT","シフト"
"113220702","13","2070","","機楽","キラク"
"113220801","13","2080","","スパッとん","スパットン"
"113220802","13","2080","","cleaner","クリーナー"
"113220901","13","2090","","雅楽","ヨミカタガワカリマセン"
"113220902","13","2090","","Ｂ・Ｄ・ウォーカー","ヨミカタガワカリマセン"
"113221001","13","2100","","Quadra","ヨミカタガワカリマセン"
"113221002","13","2100","","NASU ☆ FIGHTER","ヨミカタガワカリマセン"
"113221101","13","2110","","不可思議的遊戯","ミステリアスサーカス"
"113221102","13","2110","","Aim","エイム"
"113221201","13","2120","","SNIPER","ヨミカタガワカリマセン"
"113221202","13","2120","","頂上頂！","テッペンイタダキ"
"113331301","13","3130","","ミレニアム・クライマー","ミレニアムクライマー"
"113331302","13","3130","","長岡猿軍団","ナガオカサルグンダン"
"113331401","13","3140","","Green・peace","グリーンピース"
"113331402","13","3140","","緑の架け橋","ミドリノカケハシ"
"113331501","13","3150","","捲土重来","ケンドチョウライ"
"113331502","13","3150","","月光","ゲッコウ"
"113331601","13","3160","","BABEL","バベル"
"113331602","13","3160","","のぼるんです","ノボルンデス"
"113331701","13","3170","","Spider","スパイダー"
"113331702","13","3170","","Octaゴン","オクタゴン"
"113331801","13","3180","","は？魚肉ソーセージ？","ハギョニクソーセージ"
"113331802","13","3180","","kernkraft","ケルンクラフト"
"113331901","13","3190","","separation","セパレーション"
"113331902","13","3190","","ROBY","ロビー"
"113332001","13","3200","","CRUSH BALOON","クラッシュバルーン"
"113332002","13","3200","","YOU☆I","ユウアイ"
"113332101","13","3210","","JetStream","ジェットストリーム"
"113332102","13","3210","","Take it easy","テイクイットイージー"
"113332301","13","3230","","AQUA","アクア"
"113332302","13","3230","","らくーんどっぐ","ラクーンドッグ"
"113442401","13","4240","","ATTACK・ARM","アタックアーム"
"113442402","13","4240","","2K.r.p.m","ニーケーアールピーエム"
"113442501","13","4250","","static globe","スタティックグローブ"
"113442502","13","4250","","世紀末戦隊 宗光君","セイキマツセンタイムネミツクン"
"113442601","13","4260","","SURMOUNT","サマウント"
"113442602","13","4260","","NAMINICO","ナミニコ"
"113442701","13","4270","","姫乃菩離天登武士","キノボリテントウムシ"
"113442702","13","4270","","Heaven's day","ヘヴンズデイ"
"113442801","13","4280","","ディノ・クライマー","ディノクライマー"
"113442802","13","4280","","ＳＰＡＣＥ－ＬＡＢ","スペースラブ"
"113442901","13","4290","","Crazy Climber","クレイジークライマー"
"113442902","13","4290","","ＺＯＯＭ","ズーム"
"113443001","13","4300","","elemental彌冷无","エレメンタルミレイブ"
"113443002","13","4300","","ムーンサルト","ムーンサルト"
"113443101","13","4310","","テッペンジャック","テッペンジャック"
"113443102","13","4310","","南無阿ミレニアム","ナムアミレニアム"
"113443201","13","4320","","ArmMaschine","アルムマシーネ"
"113443202","13","4320","","帝","ミカド"
"113443301","13","4330","","よしき君参号機","ヨシキクンサンゴウキ"
"113443302","13","4330","","凹次郎２０００","オウジロウニセン"
"113553401","13","5340","A","昇鶴","ショウカク"
"113553402","13","5340","B","Carbonism","カーボニズム"
"113553501","13","5350","A","Heidebrucke","ハイデブリュッケ"
"113553502","13","5350","B","Pole Position","ポールポジション"
"113553601","13","5360","A","“全”人未踏","ゼンジンミトウ"
"113553602","13","5360","B","Professor M","プロフェッサーエム"
"113553701","13","5370","A","とうじろう","トウジロウ"
"113553702","13","5370","B","KOBE土居っちらんどB","コウベドイッチランドエスツェット"
"113553801","13","5380","A","アーチにかけろ!!","アーチニカケロ"
"113553802","13","5380","B","家鴨軍曹","アヒルグンソウ"
"113553901","13","5390","A","零式KEN160","ゼロシキケンイチロウ"
"113553902","13","5390","B","フュージョン21","フュージョンニジュウイチ"
"113554001","13","5400","A","にら隆昇る!","ニラタカシノボル"
"113554002","13","5400","B","嗚呼　紀州梅","アアキシュウウメ"
"113664101","13","6410","","Mission00","ヨミカタガワカリマセン"
"113664102","13","6410","","でんき13号","デンキジュウサンゴウ"
"113664201","13","6420","","Tsushi-MAX","ツシマックス"
"113664202","13","6420","","独立宣言！ＲＯＢＯＸ","ドクリツセンゲンロボックス"
"113664301","13","6430","","地球 Go!","チキュウゴー"
"113664302","13","6430","","Lifting H","リフティングエイチ"
"113664401","13","6440","","ピース広島","ピースヒロシマ"
"113664402","13","6440","","竜宮城伝説","リュウグウジョウデンセツ"
"113664501","13","6450","","FINAL 若さん","ファイナルワカサン"
"113664502","13","6450","","くれにあむ","クレニアム"
"113664601","13","6460","","SUN GYO","サンギョウ"
"113664602","13","6460","","Ring you","リンギョウ"
